year,flu week,ME rate,ME pop,ME count,ME weighted rate,LC rate,LC count,LC pop,LC weighted rate,CS rate,CS count,CS pop,CS weighted rate,SG rate,SG count,SG pop,SG weighted rate,PA rate,PA count,PA pop,PA weighted rate,GA rate,GA count,GA pop,GA weighted rate,BR rate,BR count,BR pop,BR weighted rate
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.0,0.0,1878.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
1.0,2.0,0.0,1878.0,0.0,0.0,0.0007236689999999999,46.0,63565.0,0.0007236689999999999,1.2271e-05,1.0,81491.0,1.2271e-05,0.0,0.0,3618.0,0.0,0.0,0.0,15597.0,0.0,8.928299999999999e-05,8.0,89603.0,8.928299999999999e-05,0.0,0.0,5637.0,0.0
1.0,3.0,0.0,1878.0,0.0,0.0,0.000802328,51.0,63565.0,0.0007551325999999999,2.4543000000000002e-05,2.0,81491.0,1.71798e-05,0.0,0.0,3618.0,0.0,0.0,0.0,15597.0,0.0,0.00010044299999999999,9.0,89603.0,9.3747e-05,0.0,0.0,5637.0,0.0
1.0,4.0,0.0,1878.0,0.0,0.0,0.001588925,101.0,63565.0,0.00108864956,2.4543000000000002e-05,2.0,81491.0,2.012508e-05,0.0,0.0,3618.0,0.0,6.4115e-05,1.0,15597.0,2.5646000000000005e-05,0.00033481,30.0,89603.0,0.0001901722,0.0,0.0,5637.0,0.0
1.0,5.0,0.000532481,1878.0,1.0,0.0002129924,0.0007865960000000001,50.0,63565.0,0.000967828136,0.00015952700000000002,13.0,81491.0,7.588584800000001e-05,0.0,0.0,3618.0,0.0,0.0,0.0,15597.0,1.53876e-05,0.000502215,45.0,89603.0,0.00031498932,0.0,0.0,5637.0,0.0
1.0,6.0,0.002129925,1878.0,4.0,0.00097976544,0.00220247,140.0,63565.0,0.0014616848816,0.00011044200000000001,9.0,81491.0,8.97083088e-05,0.0,0.0,3618.0,0.0,6.4115e-05,1.0,15597.0,3.4878560000000006e-05,0.000703101,63.0,89603.0,0.000470233992,0.0,0.0,5637.0,0.0
1.0,7.0,0.004259850999999999,1878.0,8.0,0.0022917996639999997,0.0027845509999999997,177.0,63565.0,0.00199083132896,0.0,0.0,81491.0,5.382498528e-05,0.007462687,27.0,3618.0,0.0029850748,0.00025646,4.0,15597.0,0.00012351113600000003,0.004497617,403.0,89603.0,0.0020811871952,0.0,0.0,5637.0,0.0
1.0,8.0,0.0,1878.0,0.0,0.0013750797983999997,0.013309211000000001,846.0,63565.0,0.006518183197376,0.000220883,18.0,81491.0,0.00012064819116800001,0.011885018999999998,43.0,3618.0,0.00654505248,0.00326986,51.0,15597.0,0.0013820506816,0.0047096640000000006,422.0,89603.0,0.0031325779171200003,0.0,0.0,5637.0,0.0
1.0,9.0,0.000532481,1878.0,1.0,0.00103804027904,0.008888539,565.0,63565.0,0.0074663255184256,8.5899e-05,7.0,81491.0,0.00010674851470080001,0.007462687,27.0,3618.0,0.006912106288,0.004808617,75.0,15597.0,0.00275267720896,0.0012722789999999999,114.0,89603.0,0.002388458350272,0.0,0.0,5637.0,0.0
1.0,10.0,0.0,1878.0,0.0,0.0006228241674239999,0.0032565090000000003,207.0,63565.0,0.005782398911055361,2.4543000000000002e-05,2.0,81491.0,7.386630882048001e-05,0.007462687,27.0,3618.0,0.0071323385728,0.012374175,193.0,15597.0,0.006601276325376,0.000803545,72.0,89603.0,0.0017544930101632001,0.0,0.0,5637.0,0.0
1.0,11.0,0.0,1878.0,0.0,0.0003736945004543999,0.0,0.0,63565.0,0.0034694393466332164,1.2271e-05,1.0,81491.0,4.922818529228801e-05,0.00525152,19.0,3618.0,0.00638001114368,0.009232545,144.0,15597.0,0.0076537837952256,0.000122764,11.0,89603.0,0.00110180140609792,0.0,0.0,5637.0,0.0
1.0,12.0,0.0,1878.0,0.0,0.00022421670027263993,0.0032565090000000003,207.0,63565.0,0.00338426720797993,1.2271e-05,1.0,81491.0,3.44453111753728e-05,0.0046987290000000004,17.0,3618.0,0.005707498286208,0.0007693789999999999,12.0,15597.0,0.00490002187713536,1.116e-05,1.0,89603.0,0.000665544843658752,0.0,0.0,5637.0,0.0
