year,flu week,PA rate,PA pop,PA count,PA weighted rate,GA rate,GA count,GA pop,GA weighted rate,ME rate,ME count,ME pop,ME weighted rate,SG rate,SG count,SG pop,SG weighted rate,CA rate,CA count,CA pop,CA weighted rate
,,,,,0.0,,,,,,,,,,,,,,,,
1.0,1.0,0.0,15597.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0
1.0,2.0,0.0,15597.0,0.0,0.0,8.928299999999999e-05,8.0,89603.0,8.928299999999999e-05,0.0,0.0,1878.0,0.0,0.0,0.0,3618.0,0.0,0.0,0.0,10062.0,0.0
1.0,3.0,6.4115e-05,15597.0,1.0,2.5646000000000005e-05,0.00010044299999999999,9.0,89603.0,9.3747e-05,0.0,0.0,1878.0,0.0,0.0,0.0,3618.0,0.0,0.0,0.0,10062.0,0.0
1.0,4.0,0.0,15597.0,0.0,1.53876e-05,0.00033481,30.0,89603.0,0.0001901722,0.0,0.0,1878.0,0.0,0.0,0.0,3618.0,0.0,0.0,0.0,10062.0,0.0
1.0,5.0,6.4115e-05,15597.0,1.0,3.4878560000000006e-05,0.000502215,45.0,89603.0,0.00031498932,0.0,0.0,1878.0,0.0,0.0,0.0,3618.0,0.0,0.0,0.0,10062.0,0.0
1.0,6.0,0.00025646,15597.0,4.0,0.00012351113600000003,0.000703101,63.0,89603.0,0.000470233992,0.000532481,1.0,1878.0,0.0002129924,0.0,0.0,3618.0,0.0,0.0,0.0,10062.0,0.0
1.0,7.0,0.00326986,15597.0,51.0,0.0013820506816,0.004497617,403.0,89603.0,0.0020811871952,0.002129925,4.0,1878.0,0.00097976544,0.007462687,27.0,3618.0,0.0029850748,0.0,0.0,10062.0,0.0
1.0,8.0,0.004808617,15597.0,75.0,0.00275267720896,0.0047096640000000006,422.0,89603.0,0.0031325779171200003,0.004259850999999999,8.0,1878.0,0.0022917996639999997,0.011885018999999998,43.0,3618.0,0.00654505248,0.0,0.0,10062.0,0.0
1.0,9.0,0.012374175,15597.0,193.0,0.006601276325376,0.0012722789999999999,114.0,89603.0,0.002388458350272,0.0,0.0,1878.0,0.0013750797983999997,0.007462687,27.0,3618.0,0.006912106288,0.0,0.0,10062.0,0.0
1.0,10.0,0.009232545,15597.0,144.0,0.0076537837952256,0.000803545,72.0,89603.0,0.0017544930101632001,0.000532481,1.0,1878.0,0.00103804027904,0.007462687,27.0,3618.0,0.0071323385728,0.0,0.0,10062.0,0.0
1.0,11.0,0.0007693789999999999,15597.0,12.0,0.00490002187713536,0.000122764,11.0,89603.0,0.00110180140609792,0.0,0.0,1878.0,0.0006228241674239999,0.00525152,19.0,3618.0,0.00638001114368,0.0,0.0,10062.0,0.0
1.0,12.0,0.000577034,15597.0,9.0,0.003170826726281216,1.116e-05,1.0,89603.0,0.000665544843658752,0.0,0.0,1878.0,0.0003736945004543999,0.0046987290000000004,17.0,3618.0,0.005707498286208,0.0,0.0,10062.0,0.0
1.0,13.0,0.000448804,15597.0,7.0,0.0020820176357687296,0.0,0.0,89603.0,0.0003993269061952512,0.0,0.0,1878.0,0.00022421670027263993,0.004422333,16.0,3618.0,0.0051934321717248,0.0,0.0,10062.0,0.0
1.0,14.0,0.000192345,15597.0,3.0,0.0013261485814612375,0.0,0.0,89603.0,0.00023959614371715072,0.0,0.0,1878.0,0.00013453002016358397,0.001105583,4.0,3618.0,0.0035582925030348796,0.0,0.0,10062.0,0.0
1.0,15.0,0.0,15597.0,0.0,0.0007956891488767425,0.0,0.0,89603.0,0.00014375768623029042,0.0,0.0,1878.0,8.071801209815037e-05,0.001381979,5.0,3618.0,0.0026877671018209278,0.0,0.0,10062.0,0.0
1.0,16.0,0.0,15597.0,0.0,0.00047741348932604544,0.0,0.0,89603.0,8.625461173817425e-05,0.0,0.0,1878.0,4.843080725889022e-05,0.002211166,8.0,3618.0,0.0024971266610925567,0.0,0.0,10062.0,0.0
1.0,17.0,0.0,15597.0,0.0,0.00028644809359562725,0.0,0.0,89603.0,5.175276704290455e-05,0.0,0.0,1878.0,2.9058484355334132e-05,0.0030403540000000003,11.0,3618.0,0.0027144175966555342,0.0,0.0,10062.0,0.0
1.0,18.0,0.0,15597.0,0.0,0.00017186885615737635,0.0,0.0,89603.0,3.105166022574273e-05,0.0,0.0,1878.0,1.7435090613200477e-05,0.003593145,13.0,3618.0,0.003065908557993321,0.0,0.0,10062.0,0.0
1.0,19.0,0.0,15597.0,0.0,0.0001031213136944258,0.0,0.0,89603.0,1.8630996135445634e-05,0.0,0.0,1878.0,1.0461054367920287e-05,0.0030403540000000003,11.0,3618.0,0.0030556867347959924,0.0,0.0,10062.0,0.0
1.0,20.0,0.0,15597.0,0.0,6.187278821665547e-05,0.0,0.0,89603.0,1.117859768126738e-05,0.0,0.0,1878.0,6.2766326207521715e-06,0.001934771,7.0,3618.0,0.0026073204408775955,0.0,0.0,10062.0,0.0
1.0,21.0,0.0,15597.0,0.0,3.712367292999328e-05,0.0,0.0,89603.0,6.707158608760428e-06,0.0,0.0,1878.0,3.7659795724513026e-06,0.002487562,9.0,3618.0,0.0025594170645265573,0.0,0.0,10062.0,0.0
1.0,22.0,0.0,15597.0,0.0,2.2274203757995967e-05,0.0,0.0,89603.0,4.024295165256256e-06,0.0,0.0,1878.0,2.2595877434707814e-06,0.002211166,8.0,3618.0,0.0024201166387159342,0.0,0.0,10062.0,0.0
1.0,23.0,0.0,15597.0,0.0,1.3364522254797579e-05,0.0,0.0,89603.0,2.4145770991537536e-06,0.0,0.0,1878.0,1.3557526460824688e-06,0.002763958,10.0,3618.0,0.002557653183229561,0.0,0.0,10062.0,0.0
1.0,24.0,0.0,15597.0,0.0,8.018713352878548e-06,0.0,0.0,89603.0,1.4487462594922521e-06,0.0,0.0,1878.0,8.134515876494812e-07,0.001934771,7.0,3618.0,0.0023085003099377367,0.0,0.0,10062.0,0.0
1.0,25.0,0.0,15597.0,0.0,4.8112280117271285e-06,0.0,0.0,89603.0,8.692477556953513e-07,0.0,0.0,1878.0,4.880709525896887e-07,0.002763958,10.0,3618.0,0.002490683385962642,0.0,0.0,10062.0,0.0
1.0,26.0,0.0,15597.0,0.0,2.886736807036277e-06,0.0,0.0,89603.0,5.215486534172107e-07,0.0,0.0,1878.0,2.928425715538132e-07,0.001658375,6.0,3618.0,0.002157760031577585,0.0,0.0,10062.0,0.0
1.0,27.0,0.0,15597.0,0.0,1.7320420842217662e-06,0.0,0.0,89603.0,3.1292919205032643e-07,0.0,0.0,1878.0,1.757055429322879e-07,0.001381979,5.0,3618.0,0.001847447618946551,0.0,0.0,10062.0,0.0
1.0,28.0,0.0,15597.0,0.0,1.0392252505330597e-06,0.0,0.0,89603.0,1.8775751523019586e-07,0.0,0.0,1878.0,1.0542332575937274e-07,0.001934771,7.0,3618.0,0.0018823769713679308,0.0,0.0,10062.0,0.0
1.0,29.0,0.0,15597.0,0.0,6.235351503198358e-07,0.0,0.0,89603.0,1.1265450913811751e-07,0.0,0.0,1878.0,6.325399545562364e-08,0.001934771,7.0,3618.0,0.0019033345828207587,0.0,0.0,10062.0,0.0
1.0,30.0,0.0,15597.0,0.0,3.7412109019190146e-07,0.0,0.0,89603.0,6.759270548287051e-08,0.000532481,1.0,1878.0,0.00021303035239727337,0.0,0.0,3618.0,0.0011420007496924553,0.0,0.0,10062.0,0.0
