year,flu week,SG rate,SG pop,SG count,SG weighted rate,PA rate,PA count,PA pop,PA weighted rate
,,,,,0.0,,,,
1.0,1.0,0.0,3618.0,0.0,0.0,,,,0.0
1.0,2.0,0.0,3618.0,0.0,0.0,0.0,0.0,15597.0,0.0
1.0,3.0,0.0,3618.0,0.0,0.0,0.0,0.0,15597.0,0.0
1.0,4.0,0.0,3618.0,0.0,0.0,6.4115e-05,1.0,15597.0,2.5646000000000005e-05
1.0,5.0,0.0,3618.0,0.0,0.0,0.0,0.0,15597.0,1.53876e-05
1.0,6.0,0.007462687,3618.0,27.0,0.0029850748,6.4115e-05,1.0,15597.0,3.4878560000000006e-05
1.0,7.0,0.011885018999999998,3618.0,43.0,0.00654505248,0.00025646,4.0,15597.0,0.00012351113600000003
1.0,8.0,0.007462687,3618.0,27.0,0.006912106288,0.00326986,51.0,15597.0,0.0013820506816
1.0,9.0,0.007462687,3618.0,27.0,0.0071323385728,0.004808617,75.0,15597.0,0.00275267720896
1.0,10.0,0.00525152,3618.0,19.0,0.00638001114368,0.012374175,193.0,15597.0,0.006601276325376
1.0,11.0,0.0046987290000000004,3618.0,17.0,0.005707498286208,0.009232545,144.0,15597.0,0.0076537837952256
1.0,12.0,0.004422333,3618.0,16.0,0.0051934321717248,0.0007693789999999999,12.0,15597.0,0.00490002187713536
1.0,13.0,0.001105583,3618.0,4.0,0.0035582925030348796,0.000577034,9.0,15597.0,0.003170826726281216
1.0,14.0,0.001381979,3618.0,5.0,0.0026877671018209278,0.000448804,7.0,15597.0,0.0020820176357687296
1.0,15.0,0.002211166,3618.0,8.0,0.0024971266610925567,0.000192345,3.0,15597.0,0.0013261485814612375
1.0,16.0,0.0030403540000000003,3618.0,11.0,0.0027144175966555342,0.0,0.0,15597.0,0.0007956891488767425
1.0,17.0,0.003593145,3618.0,13.0,0.003065908557993321,0.0,0.0,15597.0,0.00047741348932604544
