year,month,MMWR week,week start date,BE count,BH count,BL count,BR count,CA count,CR count,CS count,CMHD count,CH count,CU count,DA count,DW count,DL count,FA count,FL count,GA count,GF count,GL count,GR count,HI count,JE count,LA count,LC count,LI count,LN count,MA count,MC count,ME count,MI count,MS count,PA count,PH count,PO count,PR count,PW count,PI count,RA count,RI count,RO count,RS count,SA count,SH count,SB count,ST count,SG count,TE count,TO count,TR count,VA count,WI count,YE count,MT Total count
2009,8,35,8/30/2009,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,8,0,3,0,26,0,10,46,0,0,0,0,0,0,0,0,0,2,2,0,10,1,0,4,3,0,0,15,0,0,0,0,0,0,0,3,136
2009,9,36,9/6/2009,6,0,0,0,0,0,2,0,0,6,0,0,10,0,4,9,0,6,0,26,0,13,51,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,8,0,0,28,0,0,0,0,0,0,0,0,192
2009,9,37,9/13/2009,2,0,0,0,0,0,2,0,0,0,1,0,1,0,8,30,0,9,0,25,0,9,101,0,0,0,0,0,0,116,1,0,0,0,1,0,1,0,3,1,0,0,29,0,0,0,0,0,0,0,1,341
2009,9,38,9/20/2009,6,0,0,0,0,0,13,14,0,0,0,0,3,0,11,45,0,2,0,25,0,8,50,2,0,2,0,0,0,22,0,1,0,0,0,0,8,0,11,3,1,1,25,0,0,0,0,0,0,0,0,253
2009,9,39,9/27/2009,37,0,0,0,0,0,9,6,0,0,0,0,60,0,44,63,0,2,0,32,0,22,140,3,0,0,4,1,0,13,1,0,0,0,0,0,16,0,10,2,0,0,0,0,0,4,0,0,0,0,0,469
2009,10,40,10/4/2009,58,0,0,0,0,0,0,14,0,23,0,0,712,0,81,403,1,0,1,63,0,48,177,3,10,40,0,4,0,0,4,0,0,2,0,0,0,1,5,4,12,0,1,0,27,3,1,0,0,0,4,1702
2009,10,41,10/11/2009,74,0,1,0,0,0,18,34,0,23,2,5,158,0,128,422,0,0,2,104,0,56,846,0,23,48,6,8,1,0,51,0,17,1,0,3,42,34,8,29,36,6,17,0,43,10,20,0,4,0,26,2306
2009,10,42,10/18/2009,17,200,2,0,0,0,7,26,7,74,6,20,71,40,183,114,1,0,3,65,0,50,565,0,40,100,5,0,0,20,75,0,19,9,0,2,0,35,25,38,18,4,29,0,27,0,30,0,7,1,39,1974
2009,10,43,10/25/2009,5,0,0,0,0,0,2,60,5,49,0,37,48,4,113,72,1,1,1,44,0,28,207,1,0,48,2,1,0,5,193,0,0,22,0,0,0,61,67,32,18,0,6,0,27,0,30,0,9,1,14,1214
2009,11,44,11/1/2009,2,0,0,0,0,0,1,32,3,38,3,0,35,28,67,11,1,0,0,29,0,12,0,0,18,4,6,0,0,0,144,0,0,5,0,0,0,35,127,22,6,0,4,0,19,0,10,0,19,0,4,685
