Rank,County,Population
1,Yellowstone County,"156,332"
2,Missoula County,"114,231"
3,Gallatin County,"100,733"
4,Flathead County,"96,147"
5,Cascade County,"81,816"
6,Lewis and Clark County,"66,290"
7,Ravalli County,"41,387"
8,Silver Bow County,"34,514"
9,Lake County,"29,518"
10,Lincoln County,"19,249"
11,Hill County,"16,468"
12,Park County,"16,001"
13,Glacier County,"13,677"
14,Big Horn County,"13,290"
15,Custer County,"11,895"
16,Jefferson County,"11,625"
17,Sanders County,"11,414"
18,Richland County,"11,405"
19,Fergus County,"11,327"
20,Roosevelt County,"11,218"
21,Carbon County,"10,466"
22,Beaverhead County,"9,360"
23,Stillwater County,"9,342"
24,Dawson County,"9,324"
25,Rosebud County,"9,292"
26,Deer Lodge County,"9,131"
27,Madison County,"7,902"
28,Valley County,"7,561"
29,Powell County,"6,852"
30,Blaine County,"6,646"
31,Pondera County,"6,081"
32,Teton County,"6,040"
33,Chouteau County,"5,812"
34,Broadwater County,"5,755"
35,Toole County,"5,031"
36,Musselshell County,"4,766"
37,Mineral County,"4,194"
38,Phillips County,"4,139"
39,Sweet Grass County,"3,646"
40,Sheridan County,"3,568"
41,Granite County,"3,206"
42,Fallon County,"2,925"
43,Liberty County,"2,245"
44,Wheatland County,"2,108"
45,Meagher County,"2,000"
46,Judith Basin County,"1,965"
47,Daniels County,"1,788"
48,McCone County,"1,728"
49,Powder River County,"1,610"
50,Prairie County,"1,325"
51,Carter County,"1,320"
52,Wibaux County,"1,121"
53,Garfield County,"1,086"
54,Treasure County,790
55,Golden Valley County,747
56,Petroleum County,453
